"id","airport_ref","airport_ident","length_ft","width_ft","surface","lighted","closed","le_ident","le_latitude_deg","le_longitude_deg","le_elevation_ft","le_heading_degT","le_displaced_threshold_ft","he_ident","he_latitude_deg","he_longitude_deg","he_elevation_ft","he_heading_degT","he_displaced_threshold_ft"
237001,4340,"LIMC",12861,197,"ASP",1,0,"17L",45.65039825439453,8.728409767150879,745,169.6,3094,"35R",45.615699768066406,8.737500190734863,691,349.6,
237000,4340,"LIMC",12861,197,"ASP",1,0,"17R",45.64550018310547,8.718729972839355,764,169.6,,"35L",45.610801696777344,8.72780990600586,696,349.6,1329
237060,4341,"LIME",9429,148,"ASP",1,0,"10",45.671036,9.689789,779,105,312,"28",45.66441,9.725433,754,285,427
237061,4341,"LIME",2343,59,"ASP",0,0,"12",45.677925,9.702228,782,121,210,"30",45.674576,9.710052,782,301,328
237021,4342,"LIMF",10827,197,"ASP",1,0,"18",45.215599060058594,7.650569915771484,981,183,2378,"36",45.1859016418457,7.648690223693848,933,3,1148
236971,4343,"LIMG",4698,148,"ASP",1,0,"09",44.0509,8.11848,145,94,279,"27",44.050201,8.13631,103,274,
237011,4344,"LIMJ",9564,148,"ASP",1,0,"10",44.415401458740234,8.824190139770508,9,105,,"28",44.40850067138672,8.859580039978027,12,285,528
237040,4345,"LIML",8012,197,"ASP",1,0,"17",45.456215,9.275867,353,176,,"35",45.434307,9.278228,337,356,
237039,4345,"LIML",1972,72,"BIT",0,1,"17R",45.458,9.26826,353,176,,"35L",45.452599,9.26885,349,356,
237042,4346,"LIMN",9818,94,"ASP",1,0,"17",45.5442008972168,8.66491985321045,585,168,328,"35",45.51789855957031,8.67317008972168,553,348,265
237033,4347,"LIMP",6962,148,"ASP",1,0,"02",44.81769943237305,10.293100357055664,158,17,702,"20",44.835899353027344,10.30109977722168,146,197,597
341992,30196,"LIMR",3035,98,,0,0,"18",44.784156799316406,8.7863187789917,607,,,"36",44.77471923828125,8.787014961242676,607,,
236986,4348,"LIMS",9828,148,"ASP",1,0,"12",44.920799255371094,9.705450057983398,455,118.4,848,"30",44.90800094604492,9.738800048828125,436,298.4,873
237046,4349,"LIMW",4088,98,"ASP",1,0,"09",45.73809814453125,7.359920024871826,1790,85,213,"27",45.73910140991211,7.375860214233398,1773,265,115
