icao,name,lat,lon,elev_ft
IT-0420,Top_Gun_Airfield,44.682302,10.568648,259
IT-0051,Cumiana_Airfield,44.939043,7.428925,984
IT-0322,Aerlight_Faenza_Airfield,44.334746,11.930103,52
IT-0352,Aviosuperficie_Aviodelta,44.706594,10.249517,524
LINF,Fermano_Airfield,43.22652,13.74252,49
LIDI,Cortina_d'Ampezzo_Sant'Anna_Heliport,46.574099,12.115463,4213
LIAF,Foligno_Airfield,42.9328,12.71237,730
IT-0052,Aviosuperficie_Francavilla_Bisio,44.729868,8.730075,525
IT-0037,Merlo_Romano_Airfield,44.834433,7.363565,1000
IT-0130,Aquile_Randagie_Airfield,45.165629,11.03503,66
IT-0212,"Campo_di_Volo_""Air_Patria""",40.926943,14.061944,100
IT-0252,Delta_Culture_Club_Airfield,44.571111,11.451667,115
IT-0399,Campo_di_Volo_Aliveneta,45.250934,11.036059,75
IT-0101,Aerolight_Marche_Airfield,43.511883,13.191231,328
IT-0176,La_Filanda_Airfield,43.446407,11.673973,
IT-0103,Ali_di_Classe_Airfield,44.323419,12.307577,3
IT-0105,Lyra_34_Airfield,44.500278,11.944444,36
IT-0014,Oasi_dei_Re_Airfield,36.722558,14.774708,128
IT-0049,Chavez_Marini_Airfield,46.134167,8.306333,922
IT-0242,Corte_Airfield,40.107104,18.257618,262
IT-0118,Mezzana_Bigli_Airfield,45.065409,8.835176,
IT-0255,Molinella_Airfield,44.5982,11.656286,22
IT-0406,Fly_Synthesis_Airfield,45.968667,13.23355,167
IT-0451,Campo_di_Volo_Calledro,42.464848,12.428715,190
IT-0150,Francesco_Baracca_Airfield,45.842203,12.193594,269
IT-0186,Aviosuperficie_Ali_Nettuno,41.503775,12.701976,200
IT-0452,ARMA_Airfield,41.464419,12.746515,59
IT-0195,Corry's_Airfield,45.519248,10.380685,541
IT-0171,Piancada_Airfield,45.76417,13.07304,1
IT-0011,Aviosuperficie_Avioclub_Paternò,37.553356,14.884435,377
IT-0044,Beltrutta_Airfield,44.496506,7.722974,1174
IT-0058,Prealpi_Musinè_Airfield,45.124499,7.521442,1106
IT-0056,Alpi_Marittime_Airfield,44.391111,7.725556,1457
IT-0185,Pantano_Airfield,40.56167,15.7599,2625
IT-0057,Aviosuperficie_Piovera,44.935833,8.749333,312
IT-0468,Campo_di_Volo_Avio_Pontina_Fly,41.380947,13.180648,16
IT-0209,Il_Pinguino_Airfield,43.87137,10.94651,141
IT-0071,Sant'Elia_Airfield,44.741963,7.70987,
IT-0534,Rivaltella_Private_Airfield,44.642004,10.591759,
IT-0012,Rinaura_Airfield,37.028647,15.243509,40
IT-0426,Rivoli_Tetti_Neirotti_Airfield,45.046818,7.536461,1000
IT-0379,Rosangeles_Airfield,45.362976,9.017057,360
IT-0005,Aviosuperficie_Bovarella,37.792694,12.845078,656
IT-0085,Samolaco_Airfield,46.234686,9.432771,689
IT-0554,Alta_Langa_Airfield,44.411152,8.120849,627
IT-0129,Caposile_Airfield,45.56529,12.576835,
IT-0064,Campo_di_volo_Ploia,44.884167,8.780833,420
IT-0285,Parco_Livenza_Airfield,45.740274,12.704472,
IT-0620,Locher_Field,46.600776,11.380098,3000
IT-0181,Aliscarlino_Airfield,42.912222,10.816667,9
IT-0319,San_Paolo_Airfield,45.378663,10.037792,131
IT-0461,Groane_Airfield,45.56612,9.109705,
IT-0002,Senigallia_Nord_Airfield,43.738267,13.183208,39
IT-0222,Aviosuperficie_Divinangelo,41.471944,13.023611,10
IT-0256,Aviosuperficie_di_Rubbiano,44.671947,10.060862,518
IT-0390,"Campo_di_Volo_""Delta_Top_Pegaso""",42.224206,11.7948,351
IT-0761,Eurofly_Airfield,45.690507,11.746809,
IT-0394,Punta_Ala_Airfield,42.841916,10.82346,105
IT-0081,Pradelle_Airfield,45.49278,10.119883,341
IT-0387,Aviosuperficie_Delfina,42.842934,12.734494,708
IT-0073,Valsusa_Airfield,45.1125,7.287222,1250
IT-0415,Valeggio_sul_Mincio_Airfield,45.317432,10.708423,
LIDL,Legnago_Airfield,45.129259,11.293344,30
IT-0116,Passo_del_Tonale_Airfield,46.265134,10.600662,6550
IT-0136,Vigarolo_Airfield,45.217533,9.467232,220
IT-0489,Pellicano_Airfield,44.847222,7.562222,813
IT-0275,Arcobaleno_Airfield,44.496944,11.243611,
IT-0807,Vigna_di_Valle,42.0844444,12.2183333,886
IT-0701,Eliossola_Heliport,41.3524,13.44381,187
IT-0702,Ospedale_Civile_Helipad,42.66673,13.71704,961
IT-0704,Protezione_Civile_Valtrigno,41.86637,14.53371,2942
IT-0538,Campo_Volo_SAT_Torino,44.889233,7.680422,
IT-0697,Ceccano_Heliport,41.53391,13.37462,400
IT-0700,Poliambulatorio_di_Ladispoli_Helipad,41.96867,12.08137,29
IT-0703,Ospedale_San_Camillo,41.86757,12.45755,134
IT-0698,Ospedale_di_Sora_Heliport,41.72915,13.6321,1167
IT-0699,Elitaliana_Pegaso_33_Heliport,42.44131,12.05924,984
IT-TQR,San_Domino_Island_Heliport,42.117775,15.490655,
LIPC,Cervia_Air_Base,44.224201,12.3072,18
LIRE,Pratica_Di_Mare_Air_Base,41.654499,12.4452,41
LIRL,Latina_Air_Base,41.5424,12.909,94
LIRM,Grazzanise_Air_Base,41.060799,14.0819,29
LIRG,Guidonia_Air_Base,41.990299,12.7408,289
LIMR,Novi_Ligure_Eugenio_Mossi_Airfield,44.779999,8.78639,607
LIMS,Piacenza_San_Damiano_Air_Base,44.913102,9.723322,456
LIBA,Amendola_Air_Base,41.538443,15.717181,183
LIQW,Sarzana_Luni_Air_Base,44.088001,9.98795,45
IT-0802,Vicenza_Airport,45.573399,11.5295,128
IT-0775,Verolengo_Airstrip,45.18612,7.98596,
IT-0782,Gh._del_Mont_Gelé,45.902684,7.36571,
IT-0783,Ghiacciaio_del_Braoulé_altiporto,45.951132,7.52853,
IT-0784,Nevaio_del_Fallére_altiporto,45.758806,7.189477,
IT-0785,Ghiacciaio_del_Lys,45.917118,7.855349,
IT-0786,Champillon_altiporto,45.850642,7.273913,
IT-0809,Aviovitombola_Ultralight_Strip,43.17619,11.79623,
IT-0681,Aviosuperfice_Tronto,42.89005,13.87096,
IT-0092,Centro_Volo_Campania,40.9515272,14.41188,
IT-0682,CdV_Baia_e_Latina,41.29702,14.27219,
IT-0111,Navigli_Airfield,45.414412,8.895068,374
IT-0155,Acquasparta_Airfield,42.684167,12.552778,
IT-0271,Agnedo_Airfield,46.044722,11.541944,
IT-0241,Aviosuperficie_Agrigento,37.247222,13.654722,167
IT-0019,Campo_di_Volo_Aidone_(cugno),37.432392,14.61525,450
IT-0309,"Aviosuperficie_""Avioclub_Alanno""",42.31458,14.000913,383
IT-0710,Cascina_Rosio_Airfield,45.416086,8.96513,384
IT-0147,Campo_di_Volo_Borgotaro_Albareto,44.464558,9.715806,1450
IT-0270,Al_Canale_Airfield,40.8125,17.233056,1100
IT-0169,Flying_Tigers_Airfield,45.440878,7.937,751
IT-0106,Ali_Filanti_Airfield,44.582222,11.923056,20
IT-0320,AliMatese_Airfield,41.323638,14.363949,370
IT-0263,Tignes_Airfield,46.15401,12.34751,1676
IT-0556,Pianon_Altiport,46.145432,12.42808,3001
IT-0117,Ceraso_Airfield/Aero_Club_I_Templari,40.93769,16.497,1621
IT-0515,Altavillafly_Airfield,40.545833,15.101944,207
IT-0368,"Aviosuperficie_""Amici_del_Volo""",41.676997,13.74285,1217
IT-0499,Pietralata_Flying_Field,39.970654,18.381006,300
IT-0437,Aviosuperficie_Santo_Stefano,42.072262,12.2628,725
IT-0789,Col_di_Rhémes,45.496135,7.05721,
IT-0790,Granta_Pareì_ghiacciaio,45.492637,7.060532,
IT-0791,Gh._de_la_Sassiere,45.496949,7.037968,
IT-0792,Gh._del_Miravidi_breul,45.711963,6.822829,
IT-0793,Gh._del_Léchaud,45.731861,6.816234,
IT-0531,Apricena_Fly_Airfield,41.79806,15.419932,443
IT-0493,Aviosuperficie_Fly_Center,41.5472222,12.6708333,
IT-0145,Il_Fantasma_Arcole_Airfield,45.36,11.294444,56
IT-0357,"Campo_di_Volo_""Air_Ardara""",40.625979,8.868129,734
IT-0198,Reno_Air_Club_Airfield,44.612923,11.324329,125
IT-0527,Corte_Bariani_Airfield,45.033193,11.724132,7
IT-0225,Aviosuperficie_Artena,41.673056,12.845556,649
IT-0514,Vallecamonica_Airfield,45.855901,10.147571,673
IT-0160,Campo_di_Volo_Castel_Caladan,45.461305,9.576677,46
IT-0374,Asolo_Flight_Airfield,45.758333,11.896111,252
IT-0220,Aviosuperficie_Avola_Gallina,36.945287,15.170774,114
IT-0478,Azzanello_Airfield,45.293845,9.919281,159
IT-0159,Campo_di_Volo_Ondalba,44.776117,7.879334,1017
IT-0679,Barbarano_Mossano_Private_Airstrip,45.398029,11.549892,-1
IT-0144,Alla_Colombara_Airiield,45.752853,11.6925,328
IT-0297,Ali_della_Libertà_Airfield,44.516167,11.100083,
IT-0063,Country_Fly_Airfield,44.503056,7.821667,1350
IT-0152,Aviosuperficie_Olivola,41.17751,14.74734,
IT-0402,Al_Ranch_Airfield,45.923428,13.035592,
IT-0781,Beverino_Airfield,44.19713,9.80555,171
IT-0495,Bigarello_Private_Airfield,45.170815,10.929061,70
IT-0028,Cosenza_Airfield,39.525868,16.230087,180
IT-0550,Helibase_Pelikan_1,46.497639,11.30527,
IT-0509,Scortichino_Airfield,44.859083,11.353583,
IT-0311,Campo_di_Volo_Bonsciano,43.355854,12.193534,882
IT-0233,Cà_Virginia_Airfield,43.818795,12.677264,256
IT-0098,Aviosuperficie_Condor,41.415,12.979444,56
IT-0054,Il_Picchio_Airfield,45.708725,8.595706,699
IT-0491,San_Felice_Trichiana_Airfield,46.084723,12.121052,984
IT-0549,Airfield_ASD_Verbano_fly,45.676374,8.486462,
IT-0423,Bracciano_Air_Base,42.0822,12.07459,
IT-0269,Rovasenda_2000_Airfield,45.544351,8.278914,787
IT-0760,Campo_di_volo_S.Elia_(Buccino),40.658381,15.335616,
IT-0336,Aviosuperficie_Loelle,40.5701667,9.3173667,2598
IT-0354,La_Torretta_Airfield,44.993187,10.0599,118
IT-0328,Că_Mantovane_Airfield,45.239484,10.889615,111
IT-0375,San_Marco_Volo_Airfield,45.771043,11.996559,348
IT-0385,Rains_Airfield,41.146,14.338803,97
IT-0542,Casa_Bianca_Model_Airfield,45.466596,10.347943,
IT-0367,Bosco_di_Mezzo_Airfield_(CTCAL),37.1523,14.59928,1306
IT-0686,Aquila_Solitaria_Airfield,37.42709,14.02916,
IT-0250,Valerio_Glorialanza_Airfield,44.376111,9.290278,49
IT-0135,La_Zappaglia_Airfield,45.326746,10.378411,216
IT-0469,Aviosuperficie_La_Celsetta,42.121667,12.360556,722
IT-0551,Delta_Club_Ibis_Airfield,43.022255,10.611618,49
IT-0161,Volo_Molise,41.45948,14.53799,1738
IT-0335,Base_Aerea_Molise,41.474462,14.537457,1669
IT-0091,Termon_Altiport,46.270833,11.025833,2231
IT-0718,Vicari_Airfield,37.800747,13.52314,995
IT-0259,Campogalliano_Airfield,44.70355,10.85416,118
IT-0284,Pegaso_Airfield,45.318282,12.056959,
IT-0184,Arcora_Flying_Field,41.94428,15.04761,
IT-0481,I_Quattro_Cantoni_Airfield,44.803056,11.138333,
IT-0364,Aviosuperficie_Aretusa_Fly,37.03741,15.09536,1012
IT-0072,Val_Triversa_Airfield,44.906894,8.034096,574
IT-0716,Aviosuperficie_Templare_Paestum,40.472649,14.959581,
IT-0121,Oasi_da_Peppe_Airfield,40.452191,15.000098,16
IT-0501,Selva_Negra_Airfield,42.406825,11.396192,
IT-0453,Aviosuperficie_Roma_Nord,42.119945,12.604453,78
IT-0018,Campo_di_Volo_Capo_d'Orlando,38.126421,14.707904,16
IT-0134,Careas_Airfield,45.50668,9.66814,
IT-0069,Airfield_ASD_Carisio_Gliding_Club,45.446617,8.191496,150
IT-0526,ASD_Salento_Fly_Airfield,40.350138,18.061007,60
IT-0013,Aviosuperficie_Minotaurus_e_Medusa,38.049105,14.541306,13
IT-0249,Willy_il_Coyote_Airfield,44.771828,10.832155,88
IT-0290,"Aviosuperficie_""Il_Pratone""",42.093703,13.042332,1893
IT-0287,Banana_Airfield,45.597525,12.30855,6
IT-0425,Aeroteam_Airfield,45.436236,8.577373,
IT-0369,Volo_Leggero_Airfield,45.261776,11.192901,62
IT-0232,Santa_Rita_Airfield,42.75654,13.01628,2900
IT-0138,Air_Folies_Airfield,45.53297,8.90103,558
IT-0179,Sibari_Fly_Airfield,39.757785,16.437453,35
IT-0341,Oasi_Airfield,45.696556,8.826948,980
IT-0254,Cassola_Airfield,45.741308,11.806548,321
IT-0065,Il_Laghetto_Airfield,44.777885,8.13034,450
IT-0496,Campo_di_Volo_Pellizzario,45.2927778,10.4466667,140
IT-0543,Rotocenter_Airfield,43.715296,10.743997,43
IT-0377,Club_Deltasport_Airfield,44.653559,10.991591,
IT-0521,Medole_Airfield,45.339031,10.480944,230
IT-0076,Canavese_Ultralight_Flight_Club,45.358734,7.71929,853
IT-0511,"Aviosuperficie_privata_""La_Ceriella""",45.220143,8.659543,
IT-0174,Ali_Libere,42.829833,12.683383,
IT-0006,Valbelice_Airfield,37.674242,12.774611,541
IT-0436,Aviosuperficie_Antica_Sardegna,39.270695,9.538871,206
IT-0235,Ciannocio_Airfield,43.120848,11.920468,826
IT-0289,Conca_del_Re_Airfield,39.854278,16.19563,2190
IT-0217,VolAvisio_Airfield,46.27888,11.44837,2820
IT-0400,Ali_del_Brenta_Airfield,45.157127,12.110758,1
IT-0410,SCUV_Aero_Club_Valdarno_Airfield,43.528658,11.474759,1131
IT-0210,Aviosuperficie_Pegaso_Flying_Club,41.541847,13.370451,360
IT-0383,Campo_di_Volo_Giovanni_Zaccini,41.560349,13.34412,492
LIQG,Cecina_Airfield,43.2856,10.521183,
IT-0239,Esperti_Airfield,40.47894,17.884616,196
IT-0428,La_Canonica_Airfield,45.635467,12.340599,
IT-0167,Ceresara_Airfield,45.263695,10.582549,138
IT-0075,Cerreto_Castello_Airfield,45.548056,8.161111,1000
IT-0455,Campo_di_Volo_Sangermano,41.991555,12.13791,337
IT-0405,Chiasiellis_Airfield,45.944928,13.208403,118
IT-0401,Gli_Acquilotti_Airfield,45.13805,12.233941,1
IT-0131,Chiusdino_Airfield,43.189768,11.146924,918
IT-0675,Campo_di_Volo_Chiusi_Scalo,42.972564,11.944301,
IT-0517,Titta_Airfield,43.491204,12.2428,
IT-0397,Ali_Friuli_Airfield,46.056493,13.426248,370
IT-0537,CdV_Colibri,42.3008333,12.3797222,
IT-0274,"Aviosuperficie_""Villa_Selva_Air_Park""",42.79277,13.75146,551
IT-0303,La_Fattoria_Airfield,45.291762,12.075799,6
IT-0431,Butterfly_2_Airfield,45.85255,12.45734,52
IT-0494,Il_Gruccione_Airfield,43.605515,10.411837,15
IT-0798,Grillo_Casa_Airfield,43.32607,11.56251,722
IT-0016,Aviosuperficie_Sorvoliamo,37.0084558926,14.5951116085,722
IT-0751,Arca_Bessica_Airfield,45.74325,11.83564,276
IT-0480,Sturaro_Airfield,45.196389,12.068889,10
IT-0268,Banda_Bassotti_Airfield,44.926373,11.051473,36
IT-0132,"CdV_""38_N_Fly_Zone""",37.9458,15.8836,160
IT-0343,Aviosuperficie_Santa_Bruna,42.382873,12.344158,859
IT-0464,Cordovado_Airfield,45.836519,12.892606,39
IT-0475,Aviosuperficie_Corfinio,42.109588,13.84213,1181
IT-0358,Cornegliano_Airfield,45.288819,9.491562,
IT-0332,Campo_di_Volo_Ali_del_Chienti,43.260263,13.518618,390
IT-0050,Cossato_Airfield,45.531909,8.201143,804
IT-0715,Skydive_Iseo_Airfield,45.816298,10.096242,623
IT-0720,Aviosuperficie_Massarotti,37.190835,14.550211,1352
IT-0029,Franca_Airfield,39.189488,16.671496,4393
IT-0299,Creva_Air_Club_Airfield,44.737333,11.183633,29
IT-0424,Mascioni_Airfield,45.899167,8.71735,898
IT-0119,"Aviosuperficie_""Sa_Doda""",39.361731,8.868309,88
IT-0187,Aviosuperficie_Dorgali,40.348344,9.547495,587
IT-0764,Dosolo_Airfield,44.96078,10.63557,69
IT-0032,Il_Grifo_Airfield,38.637255,15.94775,630
IT-0310,"Campo_di_Volo_""Avioclub_Elice""",42.49048,13.995545,262
IT-0262,Empoli_Airstrip,43.725153,10.982175,82
IT-0114,Zampieri_Airfield,46.404329,12.88536,3281
IT-0047,Cascina_Valentino_Airfield,44.69544,7.40242,280
IT-0267,Aviosuperficie_F._Rossi,43.34,12.826944,1348
IT-0757,Alino_Airfield,46.221329,11.169695,1729
IT-0505,Felonica_Airfield,44.966938,11.354105,30
IT-0166,Campo_di_Volo_Alicocco,41.655,13.226389,190
